image,ground_truth,condition,probability_ai,binary_label,verdict
ai_ceramic_mug (AI),AI,jpeg_q90,0.9987,AI_GENERATED,likely_ai_generated
ai_ceramic_mug (AI),AI,jpeg_q70,0.9986,AI_GENERATED,likely_ai_generated
ai_ceramic_mug (AI),AI,jpeg_q50,0.9987,AI_GENERATED,likely_ai_generated
ai_ceramic_mug (AI),AI,resize_0.5,0.9989,AI_GENERATED,likely_ai_generated
ai_ceramic_mug (AI),AI,resize_1.5,0.9988,AI_GENERATED,likely_ai_generated
ai_ceramic_mug (AI),AI,blur_r1,0.9988,AI_GENERATED,likely_ai_generated
ai_ceramic_mug (AI),AI,noise_s10,0.9984,AI_GENERATED,likely_ai_generated
ai_ceramic_mug (AI),AI,brightness_0.8,0.9988,AI_GENERATED,likely_ai_generated
ai_ceramic_mug (AI),AI,brightness_1.2,0.9983,AI_GENERATED,likely_ai_generated
ai_ceramic_mug (AI),AI,contrast_0.8,0.9982,AI_GENERATED,likely_ai_generated
ai_ceramic_mug (AI),AI,contrast_1.2,0.9989,AI_GENERATED,likely_ai_generated
ai_ceramic_mug (AI),AI,crop_0.7,0.974,AI_GENERATED,likely_ai_generated
ai_ceramic_mug (AI),AI,screenshot,0.9989,AI_GENERATED,likely_ai_generated
ai_landscape (AI),AI,jpeg_q90,0.5094,AI_GENERATED,inconclusive
ai_landscape (AI),AI,jpeg_q70,0.4865,REAL,inconclusive
ai_landscape (AI),AI,jpeg_q50,0.4785,REAL,inconclusive
ai_landscape (AI),AI,resize_0.5,0.51,AI_GENERATED,inconclusive
ai_landscape (AI),AI,resize_1.5,0.5107,AI_GENERATED,inconclusive
ai_landscape (AI),AI,blur_r1,0.5085,AI_GENERATED,inconclusive
ai_landscape (AI),AI,noise_s10,0.4907,REAL,inconclusive
ai_landscape (AI),AI,brightness_0.8,0.4961,REAL,inconclusive
ai_landscape (AI),AI,brightness_1.2,0.5758,AI_GENERATED,inconclusive
ai_landscape (AI),AI,contrast_0.8,0.4851,REAL,inconclusive
ai_landscape (AI),AI,contrast_1.2,0.5331,AI_GENERATED,inconclusive
ai_landscape (AI),AI,crop_0.7,0.6861,AI_GENERATED,inconclusive
ai_landscape (AI),AI,screenshot,0.4905,REAL,inconclusive
ai_abstract_art (AI),AI,jpeg_q90,0.9992,AI_GENERATED,likely_ai_generated
ai_abstract_art (AI),AI,jpeg_q70,0.9993,AI_GENERATED,likely_ai_generated
ai_abstract_art (AI),AI,jpeg_q50,0.9993,AI_GENERATED,likely_ai_generated
ai_abstract_art (AI),AI,resize_0.5,0.999,AI_GENERATED,likely_ai_generated
ai_abstract_art (AI),AI,resize_1.5,0.9991,AI_GENERATED,likely_ai_generated
ai_abstract_art (AI),AI,blur_r1,0.999,AI_GENERATED,likely_ai_generated
ai_abstract_art (AI),AI,noise_s10,0.9992,AI_GENERATED,likely_ai_generated
ai_abstract_art (AI),AI,brightness_0.8,0.9987,AI_GENERATED,likely_ai_generated
ai_abstract_art (AI),AI,brightness_1.2,0.9994,AI_GENERATED,likely_ai_generated
ai_abstract_art (AI),AI,contrast_0.8,0.9989,AI_GENERATED,likely_ai_generated
ai_abstract_art (AI),AI,contrast_1.2,0.9992,AI_GENERATED,likely_ai_generated
ai_abstract_art (AI),AI,crop_0.7,0.961,AI_GENERATED,likely_ai_generated
ai_abstract_art (AI),AI,screenshot,0.999,AI_GENERATED,likely_ai_generated
astronaut (REAL),REAL,jpeg_q90,0.1713,REAL,likely_real
astronaut (REAL),REAL,jpeg_q70,0.1906,REAL,likely_real
astronaut (REAL),REAL,jpeg_q50,0.1744,REAL,likely_real
astronaut (REAL),REAL,resize_0.5,0.2298,REAL,inconclusive
astronaut (REAL),REAL,resize_1.5,0.2005,REAL,inconclusive
astronaut (REAL),REAL,blur_r1,0.2203,REAL,inconclusive
astronaut (REAL),REAL,noise_s10,0.1514,REAL,likely_real
astronaut (REAL),REAL,brightness_0.8,0.1738,REAL,likely_real
astronaut (REAL),REAL,brightness_1.2,0.1827,REAL,likely_real
astronaut (REAL),REAL,contrast_0.8,0.2014,REAL,inconclusive
astronaut (REAL),REAL,contrast_1.2,0.2418,REAL,inconclusive
astronaut (REAL),REAL,crop_0.7,0.1083,REAL,likely_real
astronaut (REAL),REAL,screenshot,0.2238,REAL,inconclusive
coffee (REAL),REAL,jpeg_q90,0.0711,REAL,likely_real
coffee (REAL),REAL,jpeg_q70,0.0686,REAL,likely_real
coffee (REAL),REAL,jpeg_q50,0.0664,REAL,likely_real
coffee (REAL),REAL,resize_0.5,0.0555,REAL,likely_real
coffee (REAL),REAL,resize_1.5,0.0724,REAL,likely_real
coffee (REAL),REAL,blur_r1,0.0574,REAL,likely_real
coffee (REAL),REAL,noise_s10,0.052,REAL,likely_real
coffee (REAL),REAL,brightness_0.8,0.0718,REAL,likely_real
coffee (REAL),REAL,brightness_1.2,0.0701,REAL,likely_real
coffee (REAL),REAL,contrast_0.8,0.0616,REAL,likely_real
coffee (REAL),REAL,contrast_1.2,0.0944,REAL,likely_real
coffee (REAL),REAL,crop_0.7,0.1192,REAL,likely_real
coffee (REAL),REAL,screenshot,0.0554,REAL,likely_real
chelsea (REAL),REAL,jpeg_q90,0.0388,REAL,likely_real
chelsea (REAL),REAL,jpeg_q70,0.0353,REAL,likely_real
chelsea (REAL),REAL,jpeg_q50,0.0298,REAL,likely_real
chelsea (REAL),REAL,resize_0.5,0.0152,REAL,likely_real
chelsea (REAL),REAL,resize_1.5,0.0337,REAL,likely_real
chelsea (REAL),REAL,blur_r1,0.022,REAL,likely_real
chelsea (REAL),REAL,noise_s10,0.0209,REAL,likely_real
chelsea (REAL),REAL,brightness_0.8,0.0257,REAL,likely_real
chelsea (REAL),REAL,brightness_1.2,0.0325,REAL,likely_real
chelsea (REAL),REAL,contrast_0.8,0.0147,REAL,likely_real
chelsea (REAL),REAL,contrast_1.2,0.0586,REAL,likely_real
